Package ID,Created,Modified,Vendor Company,Vendor
2105874,7-Jan-25,,Holiday Niseko,Avalon
2349312,1-Apr-25,,Holiday Niseko,Asuka 5 - 10
2364707,24-Apr-25,24-Apr-25,Holiday Niseko,Ummei
2381647,14-May-25,,Holiday Niseko,Yutaka 2
2416625,29-Jun-25,,Holiday Niseko,Ishi Couloir
2431218,15-Jul-25,,Holiday Niseko,Yukon Apartments
2441128,24-Jul-25,,Holiday Niseko,Yuki no Taki 1
2448746,29-Jul-25,30-Jul-25,Holiday Niseko,Asuka 5 - 10
2463841,9-Aug-25,,Holiday Niseko,Shiki Koyuki
2466405,10-Aug-25,,Holiday Niseko,Shiki Koyuki
2489304,25-Aug-25,,Holiday Niseko,Midori House
2492565,28-Aug-25,,Holiday Niseko,Flow Niseko
2502304,6-Sep-25,9-Sep-25,Holiday Niseko,Lodge Mori
2091872,4-Jan-25,4-Jan-25,H2 Life,Konkuriito M - Asanagi
2094361,4-Jan-25,21-Feb-25,Holiday Niseko,Flow Niseko
2107704,7-Jan-25,,Holiday Niseko,Flow Niseko
2204389,3-Feb-25,,Holiday Niseko,Nitai
